hotel,price,score,avg review,reviews count
Labersa Hotel & Convention Center Samosir,US$88,"Skor 6,0
6,0",Skor Ulasan,3
Hub Tata Guesthouse,US$23,"Skor 8,9
8,9",Hebat,149
Bagus Bay Homestay,US$8,"Skor 7,3
7,3",Baik,186
Zoé’s Paradise Waterfront Hotel,US$56,"Skor 8,6
8,6",Hebat,341
Reggae Guest House,US$20,"Skor 7,8
7,8",Baik,332
Leokap Homestay,US$16,"Skor 8,5
8,5",Sangat baik,287
Sibayak Guesthouse,US$8,"Skor 7,1
7,1",Baik,159
Mas Cottages,US$26,"Skor 7,2
7,2",Baik,72
RedDoorz @ Tuktuk Danau Toba,US$8,"Skor 5,0
5,0",Skor Ulasan,18
Toba Village Inn,US$41,"Skor 8,0
8,0",Sangat baik,150
Toba Sunset,US$28,"Skor 9,1
9,1",Luar biasa,212
Marianna Resort & Convention Tuktuk Samosir,US$127,"Skor 8,0
8,0",Sangat baik,24
Hotel Pandu Lakeside Tuktuk,US$18,"Skor 5,7
5,7",Skor Ulasan,10
Tuk Tuk Timbul Bungalows,US$28,"Skor 7,4
7,4",Baik,130
Juma cottages,US$76,"Skor 9,0
9,0",Luar biasa,244
Hotel Barbara,US$22,"Skor 8,6
8,6",Hebat,49
RedDoorz At Pariban Homestay Parbaba,US$10,"Skor 5,3
5,3",Skor Ulasan,6
Hotel Wisata Samosir By Helocus,US$23,"Skor 6,4
6,4",Skor Ulasan,10
Tama View,US$22,"Skor 8,2
8,2",Sangat baik,57
Toledo Inn,US$50,"Skor 7,4
7,4",Baik,41
RedDoorz Plus @ Vantas Hotel Parbaba,US$26,"Skor 8,2
8,2",Sangat baik,12
Ruma Kaca Simanindo Bed Breakfast,US$39,"Skor 9,8
9,8",Istimewa,15
RedDoorz @ Sihole Paradise Inn Parbaba,US$9,"Skor 7,0
7,0",Baik,4
